Id,Date,Hour,Temperature,Humidity,Wind_Speed,Visibility,Dew_Point,Solar_Radiation,Rainfall,Snowfall,Season,IsHoliday,IsFunctioningDay,Bikes_Rented
0,01122017,0,-5.2,37,2.2,2000,-17.6,0.0,0.0,0.0,1,0,1,254
1,01122017,1,-5.5,38,0.8,2000,-17.6,0.0,0.0,0.0,1,0,1,204
2,01122017,2,-6.0,39,1.0,2000,-17.7,0.0,0.0,0.0,1,0,1,173
3,01122017,3,-6.2,40,0.9,2000,-17.6,0.0,0.0,0.0,1,0,1,107
4,01122017,4,-6.0,36,2.3,2000,-18.6,0.0,0.0,0.0,1,0,1,78
5,01122017,5,-6.4,37,1.5,2000,-18.7,0.0,0.0,0.0,1,0,1,100
6,01122017,6,-6.6,35,1.3,2000,-19.5,0.0,0.0,0.0,1,0,1,181
8,01122017,8,-7.6,37,1.1,2000,-19.8,0.01,0.0,0.0,1,0,1,930
9,01122017,9,-6.5,27,0.5,1928,-22.4,0.23,0.0,0.0,1,0,1,490
10,01122017,10,-3.5,24,1.2,1996,-21.2,0.65,0.0,0.0,1,0,1,339
11,01122017,11,-0.5,21,1.3,1936,-20.2,0.94,0.0,0.0,1,0,1,360
12,01122017,12,1.7,23,1.4,2000,-17.2,1.11,0.0,0.0,1,0,1,449
13,01122017,13,2.4,25,1.6,2000,-15.6,1.16,0.0,0.0,1,0,1,451
14,01122017,14,3.0,26,2.0,2000,-14.6,1.01,0.0,0.0,1,0,1,447
15,01122017,15,2.1,36,3.2,2000,-11.4,0.54,0.0,0.0,1,0,1,463
16,01122017,16,1.2,54,4.2,793,-7.0,0.24,0.0,0.0,1,0,1,484
18,01122017,18,0.6,66,1.4,2000,-5.0,0.0,0.0,0.0,1,0,1,862
19,01122017,19,0.0,77,1.7,2000,-3.5,0.0,0.0,0.0,1,0,1,600
20,01122017,20,-0.3,79,1.5,1913,-3.5,0.0,0.0,0.0,1,0,1,426
22,01122017,22,-0.9,83,1.5,1380,-3.4,0.0,0.0,0.0,1,0,1,398
23,01122017,23,-1.3,84,1.0,1265,-3.6,0.0,0.0,0.0,1,0,1,323
24,02122017,0,-1.8,87,1.1,994,-3.6,0.0,0.0,0.0,1,0,1,328
25,02122017,1,-2.2,86,0.6,990,-4.2,0.0,0.0,0.0,1,0,1,308
26,02122017,2,-2.9,86,1.5,1256,-4.9,0.0,0.0,0.0,1,0,1,262
27,02122017,3,-3.5,81,2.2,1221,-6.2,0.0,0.0,0.0,1,0,1,167
29,02122017,5,-4.0,79,1.5,1202,-7.1,0.0,0.0,0.0,1,0,1,79
30,02122017,6,-4.3,82,2.1,1178,-6.9,0.0,0.0,0.0,1,0,1,70
31,02122017,7,-4.4,81,2.5,1276,-7.1,0.0,0.0,0.0,1,0,1,146
33,02122017,9,-2.9,68,1.6,1487,-7.9,0.3,0.0,0.0,1,0,1,328
34,02122017,10,-0.4,57,1.6,1309,-7.8,0.8,0.0,0.0,1,0,1,334
35,02122017,11,1.9,49,1.8,1406,-7.7,1.0,0.0,0.0,1,0,1,388
36,02122017,12,4.3,41,1.3,1666,-7.8,1.09,0.0,0.0,1,0,1,479
37,02122017,13,6.0,36,1.8,1780,-7.9,1.12,0.0,0.0,1,0,1,606
38,02122017,14,7.3,35,1.3,1955,-7.1,0.99,0.0,0.0,1,0,1,611
40,02122017,16,6.4,48,2.6,1945,-3.8,0.22,0.0,0.0,1,0,1,618
41,02122017,17,6.0,51,2.5,1891,-3.3,0.06,0.0,0.0,1,0,1,572
42,02122017,18,5.5,53,1.5,1697,-3.3,0.0,0.0,0.0,1,0,1,489
43,02122017,19,5.0,52,2.3,1666,-4.0,0.0,0.0,0.0,1,0,1,385
44,02122017,20,4.6,51,1.2,1585,-4.6,0.0,0.0,0.0,1,0,1,359
46,02122017,22,3.5,54,1.5,1446,-4.9,0.0,0.0,0.0,1,0,1,354
47,02122017,23,4.0,56,1.0,1352,-4.0,0.0,0.0,0.0,1,0,1,366
48,03122017,0,4.0,58,1.4,1296,-3.5,0.0,0.0,0.0,1,0,1,342
49,03122017,1,3.9,69,1.7,485,-1.2,0.0,0.0,0.0,1,0,1,227
50,03122017,2,3.3,79,1.4,830,0.0,0.0,0.0,0.0,1,0,1,228
51,03122017,3,3.4,71,1.6,1011,-1.3,0.0,0.5,0.0,1,0,1,117
52,03122017,4,3.5,73,1.0,1060,-0.8,0.0,0.0,0.0,1,0,1,76
53,03122017,5,3.9,75,1.9,914,-0.1,0.0,0.0,0.0,1,0,1,32
54,03122017,6,3.4,86,2.5,278,1.2,0.0,1.0,0.0,1,0,1,13
55,03122017,7,3.1,91,1.2,129,1.7,0.0,0.0,0.0,1,0,1,22
56,03122017,8,3.2,92,1.8,244,2.0,0.0,0.0,0.0,1,0,1,85
57,03122017,9,3.5,91,1.8,231,2.1,0.02,2.5,0.0,1,0,1,152
58,03122017,10,4.4,89,2.2,257,2.7,0.24,0.0,0.0,1,0,1,200
59,03122017,11,5.1,87,1.4,321,3.1,0.25,0.0,0.0,1,0,1,273
60,03122017,12,5.8,85,1.7,349,3.4,0.43,0.0,0.0,1,0,1,333
61,03122017,13,6.8,81,1.9,390,3.7,0.6,0.0,0.0,1,0,1,495
62,03122017,14,7.6,76,1.2,422,3.6,0.69,0.0,0.0,1,0,1,563
63,03122017,15,8.0,73,1.6,433,3.4,0.53,0.0,0.0,1,0,1,621
64,03122017,16,7.6,77,1.6,399,3.8,0.2,0.0,0.0,1,0,1,598
65,03122017,17,6.7,82,1.5,358,3.8,0.05,0.0,0.0,1,0,1,545
66,03122017,18,6.0,84,1.9,327,3.4,0.0,0.0,0.0,1,0,1,443
68,03122017,20,5.2,87,1.4,253,3.2,0.0,0.0,0.0,1,0,1,397
69,03122017,21,4.7,87,1.2,247,2.7,0.0,0.0,0.0,1,0,1,385
70,03122017,22,4.3,89,1.8,201,2.6,0.0,0.0,0.0,1,0,1,350
71,03122017,23,3.9,90,1.3,194,2.4,0.0,0.0,0.0,1,0,1,303
72,04122017,0,4.2,88,0.6,216,2.3,0.0,0.0,0.0,1,0,1,285
73,04122017,1,4.3,87,0.5,221,2.3,0.0,0.0,0.0,1,0,1,186
75,04122017,3,3.6,85,2.3,206,1.3,0.0,0.0,0.0,1,0,1,65
76,04122017,4,2.8,89,1.5,130,1.1,0.0,0.0,0.0,1,0,1,41
77,04122017,5,2.0,83,2.7,253,-0.5,0.0,0.0,0.0,1,0,1,82
78,04122017,6,1.2,76,3.7,371,-2.5,0.0,0.1,0.0,1,0,1,200
80,04122017,8,-0.8,69,3.5,954,-5.7,0.01,0.0,0.0,1,0,1,937
81,04122017,9,-1.5,47,4.2,1888,-11.3,0.22,0.0,0.0,1,0,1,509
83,04122017,11,-0.5,41,4.1,1799,-12.1,0.94,0.0,0.0,1,0,1,379
84,04122017,12,-0.3,38,4.8,1823,-12.9,1.11,0.0,0.0,1,0,1,393
85,04122017,13,0.0,30,5.4,1938,-15.5,1.17,0.0,0.0,1,0,1,391
86,04122017,14,0.1,27,4.5,2000,-16.7,1.09,0.0,0.0,1,0,1,338
87,04122017,15,-0.1,25,5.8,2000,-17.8,0.88,0.0,0.0,1,0,1,341
88,04122017,16,-0.2,23,4.7,2000,-18.8,0.55,0.0,0.0,1,0,1,375
91,04122017,19,-2.9,32,3.2,2000,-17.3,0.0,0.0,0.0,1,0,1,568
92,04122017,20,-3.6,38,3.0,2000,-15.8,0.0,0.0,0.0,1,0,1,398
93,04122017,21,-4.6,43,4.5,2000,-15.3,0.0,0.0,0.0,1,0,1,397
94,04122017,22,-5.3,45,2.5,2000,-15.3,0.0,0.0,0.0,1,0,1,353
95,04122017,23,-5.8,44,2.4,2000,-16.1,0.0,0.0,0.0,1,0,1,248
96,05122017,0,-6.1,42,2.6,2000,-16.9,0.0,0.0,0.0,1,0,1,216
97,05122017,1,-6.5,41,2.8,2000,-17.6,0.0,0.0,0.0,1,0,1,198
100,05122017,4,-7.2,34,3.0,2000,-20.4,0.0,0.0,0.0,1,0,1,42
