Id,Date,Hour,Temperature,Humidity,Wind_Speed,Visibility,Dew_Point,Solar_Radiation,Rainfall,Snowfall,Season,IsHoliday,IsFunctioningDay,Bikes_Rented
0,1122017,0,-5.2,37,2.2,2000,-17.6,0,0,0,1,0,1,254
1,1122017,1,-5.5,38,0.8,2000,-17.6,0,0,0,1,0,1,204
2,1122017,2,-6,39,1,2000,-17.7,0,0,0,1,0,1,173
3,1122017,3,-6.2,40,0.9,2000,-17.6,0,0,0,1,0,1,107
4,1122017,4,-6,36,2.3,2000,-18.6,0,0,0,1,0,1,78
5,1122017,5,-6.4,37,1.5,2000,-18.7,0,0,0,1,0,1,100
6,1122017,6,-6.6,35,1.3,2000,-19.5,0,0,0,1,0,1,181
8,1122017,8,-7.6,37,1.1,2000,-19.8,0.01,0,0,1,0,1,930
9,1122017,9,-6.5,27,0.5,1928,-22.4,0.23,0,0,1,0,1,490
10,1122017,10,-3.5,24,1.2,1996,-21.2,0.65,0,0,1,0,1,339
11,1122017,11,-0.5,21,1.3,1936,-20.2,0.94,0,0,1,0,1,360
12,1122017,12,1.7,23,1.4,2000,-17.2,1.11,0,0,1,0,1,449
13,1122017,13,2.4,25,1.6,2000,-15.6,1.16,0,0,1,0,1,451
14,1122017,14,3,26,2,2000,-14.6,1.01,0,0,1,0,1,447
15,1122017,15,2.1,36,3.2,2000,-11.4,0.54,0,0,1,0,1,463
16,1122017,16,1.2,54,4.2,793,-7,0.24,0,0,1,0,1,484
18,1122017,18,0.6,66,1.4,2000,-5,0,0,0,1,0,1,862
19,1122017,19,0,77,1.7,2000,-3.5,0,0,0,1,0,1,600
20,1122017,20,-0.3,79,1.5,1913,-3.5,0,0,0,1,0,1,426
22,1122017,22,-0.9,83,1.5,1380,-3.4,0,0,0,1,0,1,398
23,1122017,23,-1.3,84,1,1265,-3.6,0,0,0,1,0,1,323
24,2122017,0,-1.8,87,1.1,994,-3.6,0,0,0,1,0,1,328
25,2122017,1,-2.2,86,0.6,990,-4.2,0,0,0,1,0,1,308
26,2122017,2,-2.9,86,1.5,1256,-4.9,0,0,0,1,0,1,262
27,2122017,3,-3.5,81,2.2,1221,-6.2,0,0,0,1,0,1,167
29,2122017,5,-4,79,1.5,1202,-7.1,0,0,0,1,0,1,79
30,2122017,6,-4.3,82,2.1,1178,-6.9,0,0,0,1,0,1,70
31,2122017,7,-4.4,81,2.5,1276,-7.1,0,0,0,1,0,1,146
33,2122017,9,-2.9,68,1.6,1487,-7.9,0.3,0,0,1,0,1,328
34,2122017,10,-0.4,57,1.6,1309,-7.8,0.8,0,0,1,0,1,334
35,2122017,11,1.9,49,1.8,1406,-7.7,1,0,0,1,0,1,388
36,2122017,12,4.3,41,1.3,1666,-7.8,1.09,0,0,1,0,1,479
37,2122017,13,6,36,1.8,1780,-7.9,1.12,0,0,1,0,1,606
38,2122017,14,7.3,35,1.3,1955,-7.1,0.99,0,0,1,0,1,611
40,2122017,16,6.4,48,2.6,1945,-3.8,0.22,0,0,1,0,1,618
41,2122017,17,6,51,2.5,1891,-3.3,0.06,0,0,1,0,1,572
42,2122017,18,5.5,53,1.5,1697,-3.3,0,0,0,1,0,1,489
43,2122017,19,5,52,2.3,1666,-4,0,0,0,1,0,1,385
44,2122017,20,4.6,51,1.2,1585,-4.6,0,0,0,1,0,1,359
46,2122017,22,3.5,54,1.5,1446,-4.9,0,0,0,1,0,1,354
47,2122017,23,4,56,1,1352,-4,0,0,0,1,0,1,366
48,3122017,0,4,58,1.4,1296,-3.5,0,0,0,1,0,1,342
49,3122017,1,3.9,69,1.7,485,-1.2,0,0,0,1,0,1,227
50,3122017,2,3.3,79,1.4,830,0,0,0,0,1,0,1,228
51,3122017,3,3.4,71,1.6,1011,-1.3,0,0.5,0,1,0,1,117
52,3122017,4,3.5,73,1,1060,-0.8,0,0,0,1,0,1,76
53,3122017,5,3.9,75,1.9,914,-0.1,0,0,0,1,0,1,32
54,3122017,6,3.4,86,2.5,278,1.2,0,1,0,1,0,1,13
55,3122017,7,3.1,91,1.2,129,1.7,0,0,0,1,0,1,22
56,3122017,8,3.2,92,1.8,244,2,0,0,0,1,0,1,85
57,3122017,9,3.5,91,1.8,231,2.1,0.02,2.5,0,1,0,1,152
58,3122017,10,4.4,89,2.2,257,2.7,0.24,0,0,1,0,1,200
59,3122017,11,5.1,87,1.4,321,3.1,0.25,0,0,1,0,1,273
60,3122017,12,5.8,85,1.7,349,3.4,0.43,0,0,1,0,1,333
61,3122017,13,6.8,81,1.9,390,3.7,0.6,0,0,1,0,1,495
62,3122017,14,7.6,76,1.2,422,3.6,0.69,0,0,1,0,1,563
63,3122017,15,8,73,1.6,433,3.4,0.53,0,0,1,0,1,621
64,3122017,16,7.6,77,1.6,399,3.8,0.2,0,0,1,0,1,598
65,3122017,17,6.7,82,1.5,358,3.8,0.05,0,0,1,0,1,545
66,3122017,18,6,84,1.9,327,3.4,0,0,0,1,0,1,443
68,3122017,20,5.2,87,1.4,253,3.2,0,0,0,1,0,1,397
69,3122017,21,4.7,87,1.2,247,2.7,0,0,0,1,0,1,385
